epoch,accuracy,loss
0,0.2421875,1.3863942623138428
0,0.3046875,1.3860669136047363
0,0.2421875,1.3866055011749268
0,0.25,1.3857967853546143
0,0.34375,1.3829044103622437
0,0.3671875,1.3769311904907227
0,0.3046875,1.3750797510147095
0,0.375,1.3582074642181396
0,0.3671875,1.3528642654418945
0,0.375,1.3310002088546753
0,0.3203125,1.387851595878601
0,0.3828125,1.33624267578125
0,0.3671875,1.321842908859253
0,0.3671875,1.3229254484176636
0,0.375,1.3459134101867676
0,0.4140625,1.3108177185058594
0,0.4140625,1.3244717121124268
0,0.40625,1.297659158706665
0,0.3984375,1.3239655494689941
0,0.40625,1.2990303039550781
0,0.484375,1.2512693405151367
0,0.484375,1.234095811843872
0,0.53125,1.1996711492538452
0,0.484375,1.1585265398025513
0,0.359375,1.3246099948883057
0,0.5390625,1.2063462734222412
0,0.4609375,1.1973437070846558
0,0.4921875,1.1690106391906738
0,0.5,1.1421258449554443
0,0.4375,1.221706748008728
0,0.5,1.1271542310714722
0,0.53125,1.0269346237182617
0,0.4375,1.2896887063980103
0,0.515625,1.2579442262649536
0,0.484375,1.1656970977783203
0,0.546875,1.0417125225067139
0,0.53125,0.976945161819458
0,0.65625,0.8931805491447449
0,0.671875,0.83736652135849
0,0.5078125,1.1562042236328125
0,0.4765625,1.1567411422729492
0,0.703125,0.8925291299819946
0,0.6171875,0.8458324670791626
0,0.640625,0.8833242058753967
0,0.609375,0.9385364651679993
0,0.578125,0.9148870706558228
0,0.4765625,1.0665534734725952
0,0.5078125,0.8990528583526611
